istat_code;comune;densita_verde;latitude;longitude;wikidata_uri;uv_max;uv_mean;uv_clear_sky_max;classe_rischio_oms
001272;Torino;18.3;45.079166666;7.676111111;http://www.wikidata.org/entity/Q495;8.05;1.53;8.6;Molto Alto
002158;Vercelli;1.8;45.32615;8.42341;http://www.wikidata.org/entity/Q5990;7.75;1.56;8.2;Alto
003106;Novara;1.7;45.45;8.62;http://www.wikidata.org/entity/Q6046;7.65;1.53;8.25;Alto
004078;Cuneo;1.5;44.383333333;7.55;http://www.wikidata.org/entity/Q5968;8.4;1.55;9.1;Molto Alto
005005;Asti;1.4;44.9;8.206944444;http://www.wikidata.org/entity/Q6122;8.2;1.58;8.45;Molto Alto
006003;Alessandria;1.3;44.913330555;8.62;http://www.wikidata.org/entity/Q6088;8.55;1.59;8.65;Molto Alto
096004;Biella;1.9;45.566388888;8.053333333;http://www.wikidata.org/entity/Q18021;8.0;1.54;8.75;Molto Alto
103072;Verbania;9.1;45.922777777;8.551944444;http://www.wikidata.org/entity/Q3639;8.05;1.51;8.85;Molto Alto
007003;Aosta;3.0;45.737222222;7.320555555;http://www.wikidata.org/entity/Q3367;9.95;1.74;10.5;Molto Alto
008031;Imperia;0.6;43.886466666;8.029652777;http://www.wikidata.org/entity/Q13318;8.9;1.66;9.05;Molto Alto
009056;Savona;0.5;44.308055555;8.481111111;http://www.wikidata.org/entity/Q13320;8.35;1.56;8.6;Molto Alto
010025;Genova;5.7;44.407222222;8.933888888;http://www.wikidata.org/entity/Q1449;8.6;1.64;8.65;Molto Alto
011015;La Spezia;2.4;44.108044444;9.828880555;http://www.wikidata.org/entity/Q8611;8.75;1.82;8.95;Molto Alto
012133;Varese;2.9;45.816666666;8.833333333;http://www.wikidata.org/entity/Q6285;7.9;1.52;8.6;Alto
013075;Como;4.7;45.81025;9.086138888;http://www.wikidata.org/entity/Q1308;7.95;1.58;8.6;Alto
