FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;TIME_PERIOD;Osservazione;OBS_STATUS;'Stato dell"'osservazione';NOTE_REF_AREA;Territorio (NOTE_REF_AREA);NOTE_DATA_TYPE;Indicatore (NOTE_DATA_TYPE);NOTE_TIME_PERIOD;Tempo (NOTE_TIME_PERIOD);BASE_PER;Anno base;UNIT_MEAS;Unità di misura;UNIT_MULT;Unità di moltiplicazione
A;Annuale;IT;Italia;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;3.0;;;ITTER107__IT_N4;'Valori riferiti all"'insieme dei comuni capoluogo.';;;;;;;;;;
A;Annuale;ITCD;Nord;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;5.4;;;ITTER107__ITCD_N1;'Valori riferiti all"'insieme dei comuni capoluogo.';;;;;;;;;;
A;Annuale;ITC;Nord-ovest;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;5.7;;;ITTER107__ITC_N1;'Valori riferiti all"'insieme dei comuni capoluogo.';;;;;;;;;;
A;Annuale;001272;Torino;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;18.3;;;;;;;;;;;;;;
A;Annuale;002158;Vercelli;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;1.8;;;;;;;;;;;;;;
A;Annuale;003106;Novara;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;1.7;;;;;;;;;;;;;;
A;Annuale;004078;Cuneo;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;1.5;;;;;;;;;;;;;;
A;Annuale;005005;Asti;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;1.4;;;;;;;;;;;;;;
A;Annuale;006003;Alessandria;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;1.3;;;;;;;;;;;;;;
A;Annuale;096004;Biella;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;1.9;;;;;;;;;;;;;;
A;Annuale;103072;Verbania;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;9.1;;;;;;;;;;;;;;
A;Annuale;007003;Aosta;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;3.0;;;;;;;;;;;;;;
A;Annuale;008031;Imperia;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;0.6;;;;;;;;;;;;;;
A;Annuale;009056;Savona;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;0.5;;;;;;;;;;;;;;
A;Annuale;010025;Genova;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;5.7;;;;;;;;;;;;;;
A;Annuale;011015;La Spezia;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;2.4;;;;;;;;;;;;;;
A;Annuale;012133;Varese;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;2.9;;;;;;;;;;;;;;
A;Annuale;013075;Como;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;4.7;;;;;;;;;;;;;;
A;Annuale;014061;Sondrio;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;30.8;;;;;;;;;;;;;;
A;Annuale;015146;Milano;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;14.3;;;;;;;;;;;;;;
A;Annuale;016024;Bergamo;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;7.7;;;;;;;;;;;;;;
A;Annuale;017029;Brescia;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;5.7;;;;;;;;;;;;;;
A;Annuale;018110;Pavia;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;2.8;;;;;;;;;;;;;;
A;Annuale;019036;Cremona;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;3.3;;;;;;;;;;;;;;
A;Annuale;020030;Mantova;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;3.1;;;;;;;;;;;;;;
A;Annuale;097042;Lecco;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;1.6;;;;;;;;;;;;;;
A;Annuale;098031;Lodi;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;6.2;;;;;;;;;;;;;;
A;Annuale;108033;Monza;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;27.6;;;ITTER107__108033_N1;Comune incluso nella rilevazione a partire dal 2010;;;;;;;;;;
A;Annuale;ITD;Nord-est;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;5.3;;;ITTER107__ITD_N1;'Valori riferiti all"'insieme dei comuni capoluogo.';;;;;;;;;;
A;Annuale;021008;Bolzano/Bozen;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;46.5;;;;;;;;;;;;;;
A;Annuale;022205;Trento;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;30.1;;;;;;;;;;;;;;
A;Annuale;023091;Verona;URGRDPINC;Densità di verde urbano - incidenza percentuale sulla superficie comunale;2024;3.7;;;;;;;;;;;;;;
